datetime,ow_aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,year,month,day,hour,day_of_week,is_weekend,aqi_change_rate,aqi_change_rate_pct,aqi_rolling_3h,aqi_rolling_24h,pm2_5_rolling_3h,pm2_5_rolling_24h,pm10_rolling_3h,pm10_rolling_24h,no2_rolling_3h,no2_rolling_24h,so2_rolling_3h,so2_rolling_24h,co_rolling_3h,co_rolling_24h,o3_rolling_3h,o3_rolling_24h,target_aqi,target_aqi_category
2025-08-12 07:00:00,3,74.82,0.01,0.05,37.04,0.41,13.4,61.93,0.0,2025,8,12,7,1,0,0.0,0.0,3.0,2.2916666666666665,13.746666666666668,11.454166666666666,62.623333333333335,50.07916666666667,0.06,0.0695833333333333,0.42,0.3775,74.56,75.79708333333333,36.71,36.7725,3,1
2025-08-12 08:00:00,3,74.34,0.01,0.05,36.88,0.42,13.27,61.99,0.0,2025,8,12,8,1,0,0.0,0.0,3.0,2.333333333333333,13.473333333333334,11.534999999999998,62.13666666666666,50.69916666666668,0.0533333333333333,0.0699999999999999,0.4166666666666667,0.38125,74.57333333333332,75.5975,36.9,36.74333333333333,3,1
2025-08-12 09:00:00,3,73.37,0.01,0.05,36.42,0.43,13.33,62.4,0.0,2025,8,12,9,1,0,0.0,0.0,3.0,2.375,13.333333333333334,11.607083333333335,62.10666666666666,51.25791666666667,0.05,0.0704166666666666,0.42,0.3854166666666667,74.17666666666666,75.40083333333334,36.78,36.73166666666667,3,1
2025-08-12 10:00:00,3,72.87,0.01,0.05,36.19,0.44,13.44,62.63,0.0,2025,8,12,10,1,0,0.0,0.0,3.0,2.375,13.346666666666666,11.67875,62.34,51.78125,0.05,0.0708333333333333,0.43,0.3899999999999999,73.52666666666666,75.23541666666667,36.49666666666667,36.73916666666667,3,1
2025-08-12 11:00:00,3,72.93,0.01,0.06,36.29,0.44,13.32,61.44,0.0,2025,8,12,11,1,0,0.0,0.0,3.0,2.4166666666666665,13.363333333333332,11.753333333333332,62.156666666666666,52.265833333333326,0.0533333333333333,0.0716666666666666,0.4366666666666667,0.3945833333333333,73.05666666666667,75.14083333333333,36.3,36.76208333333333,3,1
2025-08-12 12:00:00,3,73.53,0.01,0.06,36.6,0.44,13.1,59.69,0.0,2025,8,12,12,1,0,0.0,0.0,3.0,2.458333333333333,13.286666666666669,11.834583333333333,61.25333333333333,52.72208333333333,0.0566666666666666,0.0720833333333333,0.44,0.39875,73.11000000000001,75.13333333333334,36.36,36.79541666666667,3,1
2025-08-12 13:00:00,3,74.02,0.01,0.08,36.97,0.44,13.14,59.12,0.0,2025,8,12,13,1,0,0.0,0.0,3.0,2.5,13.186666666666667,11.938333333333334,60.083333333333336,53.22833333333333,0.0666666666666666,0.0725,0.44,0.4025,73.49333333333334,75.16416666666666,36.62,36.82375,3,1
2025-08-12 14:00:00,3,73.71,0.0,0.1,37.27,0.44,13.29,59.16,0.0,2025,8,12,14,1,0,0.0,0.0,3.0,2.5416666666666665,13.176666666666668,12.070416666666668,59.32333333333333,53.829583333333325,0.08,0.0733333333333333,0.44,0.40625,73.75333333333333,75.15958333333333,36.946666666666665,36.84125,3,1
2025-08-12 15:00:00,3,73.11,0.0,0.1,37.51,0.45,13.53,59.89,0.0,2025,8,12,15,1,0,0.0,0.0,3.0,2.583333333333333,13.32,12.232083333333334,59.39000000000001,54.548750000000005,0.0933333333333333,0.0741666666666666,0.4433333333333333,0.4104166666666666,73.61333333333333,75.09333333333332,37.25,36.8525,3,1
2025-08-12 16:00:00,3,72.94,0.0,0.11,37.77,0.46,13.72,60.74,0.0,2025,8,12,16,1,0,0.0,0.0,3.0,2.625,13.513333333333334,12.417916666666663,59.93,55.376666666666665,0.1033333333333333,0.0754166666666666,0.45,0.415,73.25333333333333,74.98375,37.51666666666667,36.86541666666667,3,1
